name,price
StatTrak™ USP-S | Cyrex (Factory New),13.36
Desert Eagle | The Bronze (Field-Tested),0.52
StatTrak™ AWP | Fever Dream (Factory New),31.58
StatTrak™ M4A1-S | Chantico's Fire (Well-Worn),24.13
★ StatTrak™ Shadow Daggers | Forest DDPAT (Field-Tested),86.79
StatTrak™ R8 Revolver | Fade (Minimal Wear),33.23
StatTrak™ AK-47 | Neon Rider (Field-Tested),75.54
StatTrak™ SCAR-20 | Cardiac (Well-Worn),8.39
StatTrak™ FAMAS | Neural Net (Minimal Wear),3.08
StatTrak™ SG 553 | Aerial (Factory New),1.5
StatTrak™ MP7 | Cirrus (Minimal Wear),1.0
StatTrak™ P250 | Nevermore (Factory New),3.32
StatTrak™ Dual Berettas | Urban Shock (Factory New),6.59
StatTrak™ PP-Bizon | Photic Zone (Well-Worn),0.33
StatTrak™ MAC-10 | Ultraviolet (Field-Tested),1.19
Gamma Case,0.32
StatTrak™ SCAR-20 | Blueprint (Minimal Wear),0.39
Gamma 2 Case,0.45
StatTrak™ XM1014 | Quicksilver (Field-Tested),0.32
★ Specialist Gloves | Crimson Web (Field-Tested),334.01
USP-S | Guardian (Factory New),3.55
P250 | See Ya Later (Minimal Wear),6.48
StatTrak™ AWP | Exoskeleton (Well-Worn),4.51
M4A4 | Royal Paladin (Battle-Scarred),8.38
StatTrak™ USP-S | Stainless (Field-Tested),15.5
Glock-18 | Water Elemental (Factory New),10.2
StatTrak™ SSG 08 | Parallax (Factory New),11.44
Desert Eagle | Night (Factory New),41.06
AWP | Atheris (Well-Worn),1.8
Rezan the Redshirt | Sabre,1.17
AK-47 | Uncharted (Minimal Wear),0.68
Desert Eagle | Light Rail (Battle-Scarred),0.85
Bio-Haz Specialist | SWAT,2.08
The Elite Mr. Muhlik | Elite Crew,1.95
AWP | Atheris (Minimal Wear),4.71
Copper Lambda Pin,8.18
Sticker | Battle Scarred,0.84
Sticker | Coiled Strike (Holo),0.39
Sealed Graffiti | Heart (Monster Purple),0.13
Dragomir | Sabre Footsoldier,0.85
StatTrak™ AK-47 | The Empress (Field-Tested),87.43
CZ75-Auto | Tacticat (Factory New),1.08
StatTrak™ FAMAS | Decommissioned (Minimal Wear),0.73
Sticker | Shave Master,0.61
Sticker | Fnatic | Katowice 2019,1.44
Sticker | ENCE (Foil) | Berlin 2019,2.05
Sticker | Nice Shot,2.44
Sticker | Virtus.pro (Foil) | 2020 RMR,0.69
Sticker | Combine Helmet,0.16
Sticker | Last Vance,0.12
Sticker | North (Foil) | 2020 RMR,0.61
Sticker | ESPADA (Foil) | 2020 RMR,0.21
Sticker | Virtus.pro (Holo) | 2020 RMR,0.13
Sticker | Natus Vincere (Holo) | 2020 RMR,0.45
Sticker | Fnatic (Foil) | 2020 RMR,1.3
Sticker | G2 (Holo) | 2020 RMR,0.18
Sticker | Liquid (Holo) | 2020 RMR,0.4
Sticker | Astralis (Holo) | 2020 RMR,0.32
Sticker | Nuke Beast,0.18
Sticker | Aztec,0.11
Sticker | Separate Pixels,0.13
Sticker | Fire in the Hole (Holo),1.64
Sticker | Nemiga (Foil) | 2020 RMR,0.38
Sticker | Astralis (Foil) | 2020 RMR,1.24
Sticker | Luminosity Gaming | MLG Columbus 2016,3.83
Sticker | Ninjas in Pyjamas (Foil) | 2020 RMR,0.39
AWP | Mortis (Battle-Scarred),2.38
SSG 08 | Bloodshot (Well-Worn),5.06
StatTrak™ FAMAS | Mecha Industries (Well-Worn),5.16
Glock-18 | Night (Minimal Wear),1.39
StatTrak™ USP-S | Lead Conduit (Well-Worn),2.61
